,Lex,Ling,User,5FCV Mean,Scores
0,CL,"['Length', 'R2O']","['education', 'ethnicity']",0.7543998186420826,[0.7443609  0.75376884 0.76633166 0.75628141 0.75125628]
1,CL,"['Length', 'R2O']","['education', 'gender']",0.7533922746564905,[0.74937343 0.77889447 0.76633166 0.73366834 0.73869347]
2,CL,"['Length', 'R2O']","['education', 'income']",0.7559199506303447,[0.71929825 0.77638191 0.76884422 0.75628141 0.75879397]
3,CL,"['Length', 'R2O']","['education', 'joined']",0.7614299568015517,[0.75438596 0.78643216 0.77386935 0.74120603 0.75125628]
4,CL,"['Length', 'R2O']","['education', 'party']",0.7639563733454239,[0.72681704 0.78140704 0.77889447 0.75125628 0.78140704]
5,CL,"['Length', 'R2O']","['education', 'political_ideology']",0.743868465132681,[0.70175439 0.76633166 0.75628141 0.74120603 0.75376884]
6,CL,"['Length', 'R2O']","['education', 'relationship']",0.7463885845266433,[0.68671679 0.76633166 0.77889447 0.73869347 0.76130653]
7,CL,"['Length', 'R2O']","['education', 'religious_ideology']",0.7539023437991965,[0.73433584 0.7839196  0.75879397 0.73115578 0.76130653]
8,CL,"['Length', 'R2O']","['ethnicity', 'gender']",0.751908666137706,[0.70175439 0.77386935 0.77135678 0.7361809  0.77638191]
9,CL,"['Length', 'R2O']","['ethnicity', 'income']",0.7418533771614968,[0.71177945 0.74371859 0.76130653 0.75628141 0.7361809 ]
10,CL,"['Length', 'R2O']","['ethnicity', 'joined']",0.7413508645986826,[0.71177945 0.78140704 0.73366834 0.73115578 0.74874372]
11,CL,"['Length', 'R2O']","['ethnicity', 'party']",0.7423521114343649,[0.71929825 0.76633166 0.73366834 0.72613065 0.76633166]
12,CL,"['Length', 'R2O']","['ethnicity', 'political_ideology']",0.7433735091497589,[0.68671679 0.7638191  0.74874372 0.72864322 0.78894472]
13,CL,"['Length', 'R2O']","['ethnicity', 'relationship']",0.7383370486517802,[0.70927318 0.75628141 0.75879397 0.74120603 0.72613065]
14,CL,"['Length', 'R2O']","['ethnicity', 'religious_ideology']",0.7373345423861161,[0.70426065 0.76633166 0.74120603 0.70351759 0.77135678]
15,CL,"['Length', 'R2O']","['gender', 'income']",0.7328131887507714,[0.70175439 0.74623116 0.73115578 0.75376884 0.73115578]
16,CL,"['Length', 'R2O']","['gender', 'joined']",0.7323245299177592,[0.67418546 0.7638191  0.74623116 0.73366834 0.74371859]
17,CL,"['Length', 'R2O']","['gender', 'party']",0.7488961096207856,[0.69674185 0.77135678 0.76633166 0.74874372 0.76130653]
18,CL,"['Length', 'R2O']","['gender', 'political_ideology']",0.7448583770985252,[0.73182957 0.74874372 0.7638191  0.73115578 0.74874372]
19,CL,"['Length', 'R2O']","['gender', 'relationship']",0.7418558960214607,[0.70676692 0.76633166 0.74623116 0.73869347 0.75125628]
20,CL,"['Length', 'R2O']","['gender', 'religious_ideology']",0.7539023437991964,[0.73433584 0.7638191  0.74874372 0.73869347 0.7839196 ]
21,CL,"['Length', 'R2O']","['income', 'joined']",0.758429994584451,[0.72431078 0.7638191  0.76130653 0.76130653 0.78140704]
22,CL,"['Length', 'R2O']","['income', 'party']",0.7328207453306634,[0.68671679 0.74120603 0.73115578 0.76884422 0.7361809 ]
23,CL,"['Length', 'R2O']","['income', 'political_ideology']",0.7519048878477601,[0.70927318 0.75628141 0.75376884 0.74623116 0.79396985]
24,CL,"['Length', 'R2O']","['income', 'relationship']",0.7468646490598354,[0.73934837 0.76884422 0.76130653 0.73366834 0.73115578]
25,CL,"['Length', 'R2O']","['income', 'religious_ideology']",0.7458722182340273,[0.71428571 0.74371859 0.7638191  0.75376884 0.75376884]
26,CL,"['Length', 'R2O']","['joined', 'party']",0.7363433709902898,[0.67669173 0.77135678 0.73869347 0.74874372 0.74623116]
27,CL,"['Length', 'R2O']","['joined', 'political_ideology']",0.7538998249392325,[0.73934837 0.78140704 0.75628141 0.74120603 0.75125628]
28,CL,"['Length', 'R2O']","['joined', 'relationship']",0.7554199569274946,[0.71428571 0.77638191 0.76130653 0.76130653 0.7638191 ]
29,CL,"['Length', 'R2O']","['joined', 'religious_ideology']",0.7418558960214607,[0.70676692 0.78894472 0.73115578 0.74371859 0.73869347]
30,CL,"['Length', 'R2O']","['party', 'political_ideology']",0.7493847684537978,[0.72431078 0.76130653 0.75125628 0.75628141 0.75376884]
31,CL,"['Length', 'R2O']","['party', 'relationship']",0.7338358458961473,[0.66666667 0.72361809 0.75125628 0.7638191  0.7638191 ]
32,CL,"['Length', 'R2O']","['party', 'religious_ideology']",0.7413596806085565,[0.69423559 0.77386935 0.75628141 0.72864322 0.75376884]
33,CL,"['Length', 'R2O']","['political_ideology', 'relationship']",0.7463722119368773,[0.71929825 0.73869347 0.7638191  0.74874372 0.76130653]
