,Religion,lex_list,ling_list,user_list,scores,mean_score
0,True,[],"['Length', 'R2O']","['education', 'ethnicity']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
1,False,[],"['Length', 'R2O']","['education', 'ethnicity']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
2,True,[],"['Length', 'R2O']","['education', 'gender']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
3,False,[],"['Length', 'R2O']","['education', 'gender']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
4,True,[],"['Length', 'R2O']","['education', 'income']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
5,False,[],"['Length', 'R2O']","['education', 'income']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
6,True,[],"['Length', 'R2O']","['education', 'joined']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
7,False,[],"['Length', 'R2O']","['education', 'joined']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
8,True,[],"['Length', 'R2O']","['education', 'party']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
9,False,[],"['Length', 'R2O']","['education', 'party']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
10,True,[],"['Length', 'R2O']","['education', 'political_ideology']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
11,False,[],"['Length', 'R2O']","['education', 'political_ideology']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
12,True,[],"['Length', 'R2O']","['education', 'relationship']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
13,False,[],"['Length', 'R2O']","['education', 'relationship']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
14,True,[],"['Length', 'R2O']","['education', 'religious_ideology']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
15,False,[],"['Length', 'R2O']","['education', 'religious_ideology']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
16,True,[],"['Length', 'R2O']","['ethnicity', 'gender']",[0.67741935 0.67741935 0.67741935 0.64130435 0.7173913 ],0.6781907433380084
17,False,[],"['Length', 'R2O']","['ethnicity', 'gender']",[0.75163399 0.74509804 0.75816993 0.75409836 0.77377049],0.756554162648666
